title,link,author,published_in
Inside the House of Wisdom,https://www.lightspeedmagazine.com/fiction/inside-the-house-of-wisdom/,Tamara Masri,Dec. 2024
A Catalog of 21st Century Ghosts,https://www.lightspeedmagazine.com/fiction/a-catalog-of-21st-century-ghosts/,Pat Murphy,Dec. 2024
What We Plan to Do with You,https://www.lightspeedmagazine.com/fiction/what-we-plan-to-do-with-you/,Adam-Troy Castro,Dec. 2024
Get Hyped!,https://www.lightspeedmagazine.com/fiction/get-hyped/,Gene Doucette,Dec. 2024
Tell Them a Story to Teach Them Kindness,https://www.lightspeedmagazine.com/fiction/tell-them-a-story-to-teach-them-kindness/,B. Pladek,Jan. 2025
"Antyesti For a Dead Ganesa, Part 2",https://www.lightspeedmagazine.com/fiction/antyesti-for-a-dead-ganesa-part-2/,Ashok K. Banker,Nov. 2024
Ancestor Code Error,https://www.lightspeedmagazine.com/fiction/ancestor-code-error/,Ai Jiang,Nov. 2024
GaaS,https://www.lightspeedmagazine.com/fiction/gaas/,Meg Elison,Sept. 2024
"Antyesti For a Dead Ganesa, Part 1",https://www.lightspeedmagazine.com/fiction/antyesti-for-a-dead-ganesa-part-1/,Ashok K. Banker,Nov. 2024
Two Motes in the Zeugma Dark,https://www.lightspeedmagazine.com/fiction/two-motes-in-the-zeugma-dark/,Sagan Yee,Sept. 2024
Islands of Stability,https://www.lightspeedmagazine.com/fiction/islands-of-stability/,Marissa Lingen,Mar. 2024
"The Three Thousand, Four Hundred Twenty-Third Law of Robotics",https://www.lightspeedmagazine.com/fiction/the-three-thousand-four-hundred-twenty-third-law-of-robotics/,Adam-Troy Castro,Mar. 2024
A Pedra,https://www.lightspeedmagazine.com/fiction/a-pedra/,Endria Isa Richardson,Apr. 2024
An Incomplete Body Has No Answers,https://www.lightspeedmagazine.com/fiction/an-incomplete-body-has-no-answers/,Angela Liu,Mar. 2024
Let the Star Explode,https://www.lightspeedmagazine.com/fiction/let-the-star-explode/,Shingai Njeri Kagunda,Mar. 2024
But From Thine Eyes My Knowledge I Derive,https://www.lightspeedmagazine.com/fiction/but-from-thine-eyes-my-knowledge-i-derive/,Phoebe Barton,February 2024
The Pearl Captain,https://www.lightspeedmagazine.com/fiction/the-pearl-captain/,Christopher Rowe,February 2024
Scarlett,https://www.lightspeedmagazine.com/fiction/scarlett/,Everdeen Mason,February 2024
We Shall Not Be Bitter at the End of the World,https://www.lightspeedmagazine.com/fiction/we-shall-not-be-bitter-at-the-end-of-the-world/,David Anaxagoras,January 2024
Companion Animals in Mahō Shōjo Kira Kira Sunlight,https://www.lightspeedmagazine.com/fiction/companion-animals-in-maho-shojo-kira-kira-sunlight/,Stewart C Baker,February 2024
Under the Skin,https://www.lightspeedmagazine.com/fiction/under-the-skin/,Deborah L. Davitt,Aug. 2024
"Reconstructing “The Goldenrod Conspiracy,” Edina Room, Saturday 2:30-3:30",https://www.lightspeedmagazine.com/fiction/reconstructing-the-goldenrod-conspiracy-edina-room-saturday-230-330/,Gabriela Santiago,Sept. 2024
The Quality of Mercy Is Not Strain’d,https://www.lightspeedmagazine.com/fiction/the-quality-of-mercy-is-not-straind/,Archita Mittra,Aug. 2024
Resistance,https://www.lightspeedmagazine.com/fiction/resistance/,Cat Rambo,Aug. 2024
The Aliens Said They Wanted to Party,https://www.lightspeedmagazine.com/fiction/the-aliens-said-they-wanted-to-party/,Joel W. D. Buxton,July 2024
The Darkness Between the Stars,https://www.lightspeedmagazine.com/fiction/the-darkness-between-the-stars/,Richard Thomas,Aug. 2024
The Heist for the Soul of Humanity,https://www.lightspeedmagazine.com/fiction/the-heist-for-the-soul-of-humanity/,Filip Hajdar Drnovšek Zorko,July 2024
The Only Writing Advice You’ll Ever Need to Survive Eldritch Horrors,https://www.lightspeedmagazine.com/fiction/the-only-writing-advice-youll-ever-need-to-survive-eldritch-horrors/,Aimee Picchi,July 2024
Warning Notes from an Annihilator Machine,https://www.lightspeedmagazine.com/fiction/warning-notes-from-an-annihilator-machine-2/,Oyedotun Damilola Muees,June 2024
The Help Hotline,https://www.lightspeedmagazine.com/fiction/the-help-hotline/,Dominica Phetteplace,June 2024
The Last Lucid Day,https://www.lightspeedmagazine.com/fiction/the-last-lucid-day/,Dominique Dickey,July 2024
Udo Gehler and the Virgin Bitch of the Resistance,https://www.lightspeedmagazine.com/fiction/udo-gehler-and-the-virgin-bitch-of-the-resistance/,Andrea Kriz,June 2024
The Waking Sleep of a Seething Wound,https://www.lightspeedmagazine.com/fiction/the-waking-sleep-of-a-seething-wound/,dave ring,June 2024
The Last Thing They See Is Laika,https://www.lightspeedmagazine.com/fiction/the-last-thing-they-see-is-laika/,Stephen Geigen-Miller,May 2024
Over a Long Time Ago,https://www.lightspeedmagazine.com/fiction/over-a-long-time-ago/,Nisi Shawl,May 2024
Chaos Theory,https://www.lightspeedmagazine.com/fiction/chaos-theory/,Ash Howell,May 2024
We Will Teach You How to Read | We Will Teach You How to Read,https://www.lightspeedmagazine.com/fiction/we-will-teach-you-how-to-read-we-will-teach-you-how-to-read/,Caroline M. Yoachim,May 2024
Limping Toward Sunrise,https://www.lightspeedmagazine.com/fiction/limping-toward-sunrise/,Rich Larson,Apr. 2024
"Mother’s Day, After Everything",https://www.lightspeedmagazine.com/fiction/mothers-day-after-everything/,Susan Palwick,Apr. 2024
Night Desk Duty at the Infinite Paradox Hotel,https://www.lightspeedmagazine.com/fiction/night-desk-duty-at-the-infinite-paradox-hotel/,Aimee Ogden,January 2024
"Under a Star, Bright as Morning",https://www.lightspeedmagazine.com/fiction/under-a-star-bright-as-morning/,David Anaxagoras,Apr. 2024
Five Views of the Planet Tartarus,https://www.lightspeedmagazine.com/fiction/five-views-of-the-planet-tartarus/,Rachael K. Jones,January 2024
Shadow Films,https://www.lightspeedmagazine.com/fiction/shadow-films/,Ben Peek,January 2024
Do the Right Thing and Ride the Bomb the Roundabout Way to Hell,https://www.lightspeedmagazine.com/fiction/do-the-right-thing-and-ride-the-bomb-the-roundabout-way-to-hell/,Andrea Kriz,December 2023
Seed,https://www.lightspeedmagazine.com/fiction/seed/,Adam-Troy Castro,December 2023
Dandelions,https://www.lightspeedmagazine.com/fiction/dandelions/,Martin Cahill,December 2023
Carbon Zero,https://www.lightspeedmagazine.com/fiction/carbon-zero/,D. Thomas Minton,December 2023
Confession #443 (Comments open),https://www.lightspeedmagazine.com/fiction/confession-443-comments-open/,Dominica Phetteplace,November 2023
A Record of Lost Time,https://www.lightspeedmagazine.com/fiction/a-record-of-lost-time/,Regina Kanyu Wang,November 2023
A Review: The Reunion of the Survivors of Sigrún 7,https://www.lightspeedmagazine.com/fiction/a-review-the-reunion-of-the-survivors-of-sigrun-7/,Lars Ahn,November 2023
"The CRISPR Cookbook (Chapter Two): A Guide to Biohacking Your Own Eggs into Weapons of Destruction, to Be Forcibly Implanted into One Patriarchist at a Time",https://www.lightspeedmagazine.com/fiction/the-crispr-cookbook-chapter-two-a-guide-to-biohacking-your-own-eggs-into-weapons-of-destruction-to-be-forcibly-implanted-into-one-patriarchist-at-a-time/,MKRNYILGLD,November 2023
